Site,Region,RCA,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KANAGA/N CAPE,C ALEU,4,,309,,,,,,155,,,,0,,75,24,,23,,68,,,,25,,12,,7,,13,2,14,,0,0,,,0,,0
KANAGA/SHIP ROCK,C ALEU,4,,168,,,,,,314,,,,0,,92,93,,175,,146,,164,,156,,242,,229,247,,331,322,420,372,358,,,350,,270
KASATOCHI/NORTH POINT,C ALEU,4,,2166,,,,,,1170,,,,659,641,466,376,,288,,330,,350,,390,,529,,667,542,610,613,550,609,732,716,,,587,,602
KAVALGA,C ALEU,3,,233,,,,,,1,,,,0,8,25,34,,21,,12,,52,,50,,18,,56,,,,63,,4,,,,9,,
KILOKAK ROCKS,C GULF,8,,,,,,,,,,,,,,,,,135,,120,90,76,,67,,88,,85,,144,198,101,,142,187,,116,,200,
KISKA/CAPE ST STEPHEN,C ALEU,2,,2202,,,,,,1351,,,,464,,380,248,,233,,258,,224,,152,,126,,210,181,,211,229,204,,,109,,182,82,156
KISKA/GERTRUDE-BUKHTI,C ALEU,2,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,11,6,,10
KISKA/LIEF COVE,C ALEU,2,,4971,,,,,,1715,,,,510,,506,357,,359,,341,,284,,272,,174,,170,205,,164,162,152,,,,,128,,150
KISKA/PILLAR ROCK,C ALEU,2,,35,,,,,,3,,,,0,,8,13,,4,,7,,5,,0,,3,,0,,,,0,,,,2,0,,,
KISKA/SIRIUS POINT,C ALEU,2,22,2,,,,,,0,,,,0,,,114,,169,,88,,60,,2,,0,,,,,,0,,,,,0,0,,
KISKA/SOBAKA-VEGA,C ALEU,2,,50,,,,,,297,,,,52,,137,138,,40,,146,,108,,152,,54,,101,,,,52,,,,,,30,,24
KISKA/SOUTH HEAD,C ALEU,2,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,0
